x_glider,y_glider
3.109038591384887695e+00,2.281563282012939453e+00
3.103602647781372070e+00,2.321192264556884766e+00
3.098166704177856445e+00,2.360821247100830078e+00
3.092730760574340820e+00,2.400450229644775391e+00
3.087294816970825195e+00,2.440079212188720703e+00
3.081858873367309570e+00,2.479708194732666016e+00
3.076422929763793945e+00,2.519337177276611328e+00
3.070986986160278320e+00,2.558966159820556641e+00
3.065551042556762695e+00,2.598595142364501953e+00
3.060115098953247070e+00,2.638224124908447266e+00
3.054679155349731445e+00,2.677853107452392578e+00
3.049243211746215820e+00,2.717482089996337891e+00
3.043807268142700195e+00,2.757111072540283203e+00
3.038371324539184570e+00,2.796740055084228516e+00
3.032935380935668945e+00,2.836369037628173828e+00
3.027499437332153320e+00,2.875998020172119141e+00
3.022063493728637695e+00,2.915627002716064453e+00
3.016627550125122070e+00,2.955255985260009766e+00
3.011191606521606445e+00,2.994884967803955078e+00
3.005755662918090820e+00,3.034513950347900391e+00
3.000319719314575195e+00,3.074142932891845703e+00
2.994883775711059570e+00,3.113771915435791016e+00
2.989447832107543945e+00,3.153400897979736328e+00
2.984011888504028320e+00,3.193029880523681641e+00
2.978575944900512695e+00,3.232658863067626953e+00
2.973140001296997070e+00,3.272287845611572266e+00
2.967704057693481445e+00,3.311916828155517578e+00
2.962268114089965820e+00,3.351545810699462891e+00
2.956832170486450195e+00,3.391174793243408203e+00
2.951396226882934570e+00,3.430803775787353516e+00
2.945960283279418945e+00,3.470432758331298828e+00
2.940524339675903320e+00,3.510061740875244141e+00
2.935088396072387695e+00,3.549690723419189453e+00
2.929652452468872070e+00,3.589319705963134766e+00
2.924216508865356445e+00,3.628948688507080078e+00
2.918780565261840820e+00,3.668577671051025391e+00
2.913344621658325195e+00,3.708206653594970703e+00
2.907908678054809570e+00,3.747835636138916016e+00
2.902472734451293945e+00,3.787464618682861328e+00
2.897036790847778320e+00,3.827093601226806641e+00
2.891600847244262695e+00,3.866722583770751953e+00
2.886164903640747070e+00,3.906351566314697266e+00
2.880728960037231445e+00,3.945980548858642578e+00
2.875293016433715820e+00,3.985609531402587891e+00
2.869857072830200195e+00,4.025238513946533203e+00
2.864421129226684570e+00,4.064867496490478516e+00
2.858985185623168945e+00,4.104496479034423828e+00
2.853549242019653320e+00,4.144125461578369141e+00
2.848113298416137695e+00,4.183754444122314453e+00
2.842677354812622070e+00,4.223383426666259766e+00
2.837241411209106445e+00,4.263012409210205078e+00
2.831805467605590820e+00,4.302641391754150391e+00
2.826369524002075195e+00,4.342270374298095703e+00
2.820933580398559570e+00,4.381899356842041016e+00
2.815497636795043945e+00,4.421528339385986328e+00
2.810061693191528320e+00,4.461157321929931641e+00
2.804625749588012695e+00,4.500786304473876953e+00
2.799189805984497070e+00,4.540415287017822266e+00
2.793753862380981445e+00,4.580044269561767578e+00
2.788317918777465820e+00,4.619673252105712891e+00
2.782881975173950195e+00,4.659302234649658203e+00
2.777446031570434570e+00,4.698931217193603516e+00
