x_glider,y_glider
2.043037176132202148e+00,1.913779616355895996e+00
2.065524578094482422e+00,1.946860074996948242e+00
2.088011980056762695e+00,1.979940533638000488e+00
2.110499382019042969e+00,2.013020992279052734e+00
2.132986783981323242e+00,2.046101570129394531e+00
2.155474185943603516e+00,2.079182147979736328e+00
2.177961587905883789e+00,2.112262725830078125e+00
2.200448989868164062e+00,2.145343303680419922e+00
2.222936391830444336e+00,2.178423881530761719e+00
2.245423793792724609e+00,2.211504459381103516e+00
2.267911195755004883e+00,2.244585037231445312e+00
2.290398597717285156e+00,2.277665615081787109e+00
2.312885999679565430e+00,2.310746192932128906e+00
2.335373401641845703e+00,2.343826770782470703e+00
2.357860803604125977e+00,2.376907348632812500e+00
2.380348205566406250e+00,2.409987926483154297e+00
2.402835607528686523e+00,2.443068504333496094e+00
2.425323009490966797e+00,2.476149082183837891e+00
2.447810411453247070e+00,2.509229660034179688e+00
2.470297813415527344e+00,2.542310237884521484e+00
2.492785215377807617e+00,2.575390815734863281e+00
2.515272617340087891e+00,2.608471393585205078e+00
2.537760019302368164e+00,2.641551971435546875e+00
2.560247421264648438e+00,2.674632549285888672e+00
2.582734823226928711e+00,2.707713127136230469e+00
2.605222225189208984e+00,2.740793704986572266e+00
2.627709627151489258e+00,2.773874282836914062e+00
2.650197029113769531e+00,2.806954860687255859e+00
2.672684431076049805e+00,2.840035438537597656e+00
2.695171833038330078e+00,2.873116016387939453e+00
2.717659235000610352e+00,2.906196594238281250e+00
2.740146636962890625e+00,2.939277172088623047e+00
2.762634038925170898e+00,2.972357749938964844e+00
2.785121440887451172e+00,3.005438327789306641e+00
2.807608842849731445e+00,3.038518905639648438e+00
2.830096244812011719e+00,3.071599483489990234e+00
2.852583646774291992e+00,3.104680061340332031e+00
2.875071048736572266e+00,3.137760639190673828e+00
2.897558450698852539e+00,3.170841217041015625e+00
2.920045852661132812e+00,3.203921794891357422e+00
2.942533254623413086e+00,3.237002372741699219e+00
2.965020656585693359e+00,3.270082950592041016e+00
2.987508058547973633e+00,3.303163528442382812e+00
3.009995460510253906e+00,3.336244106292724609e+00
3.032482862472534180e+00,3.369324684143066406e+00
3.054970264434814453e+00,3.402405261993408203e+00
3.077457666397094727e+00,3.435485839843750000e+00
3.099945068359375000e+00,3.468566417694091797e+00
3.122432470321655273e+00,3.501646995544433594e+00
3.144919872283935547e+00,3.534727573394775391e+00
3.167407274246215820e+00,3.567808151245117188e+00
3.189894676208496094e+00,3.600888729095458984e+00
3.212382078170776367e+00,3.633969306945800781e+00
3.234869480133056641e+00,3.667049884796142578e+00
3.257356882095336914e+00,3.700130462646484375e+00
3.279844284057617188e+00,3.733211040496826172e+00
3.302331686019897461e+00,3.766291618347167969e+00
3.324819087982177734e+00,3.799372196197509766e+00
3.347306489944458008e+00,3.832452774047851562e+00
3.369793891906738281e+00,3.865533351898193359e+00
3.392281293869018555e+00,3.898613929748535156e+00
