x_glider,y_glider
-1.878328919410705566e+00,-8.535801172256469727e-01
-1.852022051811218262e+00,-8.234479427337646484e-01
-1.825715184211730957e+00,-7.933157682418823242e-01
-1.799408316612243652e+00,-7.631835937500000000e-01
-1.773101449012756348e+00,-7.330514192581176758e-01
-1.746794581413269043e+00,-7.029192447662353516e-01
-1.720487713813781738e+00,-6.727870702743530273e-01
-1.694180846214294434e+00,-6.426548957824707031e-01
-1.667873978614807129e+00,-6.125227212905883789e-01
-1.641567111015319824e+00,-5.823905467987060547e-01
-1.615260243415832520e+00,-5.522583723068237305e-01
-1.588953375816345215e+00,-5.221261978149414062e-01
-1.562646508216857910e+00,-4.919940233230590820e-01
-1.536339640617370605e+00,-4.618618488311767578e-01
-1.510032773017883301e+00,-4.317296743392944336e-01
-1.483725905418395996e+00,-4.015974998474121094e-01
-1.457419037818908691e+00,-3.714653253555297852e-01
-1.431112170219421387e+00,-3.413331508636474609e-01
-1.404805302619934082e+00,-3.112009763717651367e-01
-1.378498435020446777e+00,-2.810688018798828125e-01
-1.352191567420959473e+00,-2.509366273880004883e-01
-1.325884699821472168e+00,-2.208044677972793579e-01
-1.299577832221984863e+00,-1.906723082065582275e-01
-1.273270964622497559e+00,-1.605401486158370972e-01
-1.246964097023010254e+00,-1.304079890251159668e-01
-1.220657229423522949e+00,-1.002758294343948364e-01
-1.194350361824035645e+00,-7.014366984367370605e-02
-1.168043494224548340e+00,-4.001151025295257568e-02
-1.141736626625061035e+00,-9.879350662231445312e-03
-1.115429759025573730e+00,2.025280892848968506e-02
-1.089122891426086426e+00,5.038496851921081543e-02
-1.062816023826599121e+00,8.051712810993194580e-02
-1.036509156227111816e+00,1.106492877006530762e-01
-1.010202288627624512e+00,1.407814472913742065e-01
-9.838953614234924316e-01,1.709136068820953369e-01
-9.575884342193603516e-01,2.010457664728164673e-01
-9.312815070152282715e-01,2.311779260635375977e-01
-9.049745798110961914e-01,2.613101005554199219e-01
-8.786676526069641113e-01,2.914422750473022461e-01
-8.523607254028320312e-01,3.215744495391845703e-01
-8.260537981986999512e-01,3.517066240310668945e-01
-7.997468709945678711e-01,3.818387985229492188e-01
-7.734399437904357910e-01,4.119709730148315430e-01
-7.471330165863037109e-01,4.421031475067138672e-01
-7.208260893821716309e-01,4.722353219985961914e-01
-6.945191621780395508e-01,5.023674964904785156e-01
-6.682122349739074707e-01,5.324996709823608398e-01
-6.419053077697753906e-01,5.626318454742431641e-01
-6.155983805656433105e-01,5.927640199661254883e-01
-5.892914533615112305e-01,6.228961944580078125e-01
-5.629845261573791504e-01,6.530283689498901367e-01
-5.366775989532470703e-01,6.831605434417724609e-01
-5.103706717491149902e-01,7.132927179336547852e-01
-4.840637743473052979e-01,7.434248924255371094e-01
-4.577568769454956055e-01,7.735570669174194336e-01
-4.314499795436859131e-01,8.036892414093017578e-01
-4.051430821418762207e-01,8.338214159011840820e-01
-3.788361847400665283e-01,8.639535903930664062e-01
-3.525292873382568359e-01,8.940857648849487305e-01
-3.262223899364471436e-01,9.242179393768310547e-01
-2.999154925346374512e-01,9.543501138687133789e-01
-2.736085951328277588e-01,9.844822883605957031e-01
-2.473016977310180664e-01,1.014614462852478027e+00
-2.209948003292083740e-01,1.044746637344360352e+00
-1.946879029273986816e-01,1.074878811836242676e+00
-1.683810055255889893e-01,1.105010986328125000e+00
-1.420741081237792969e-01,1.135143160820007324e+00
-1.157672107219696045e-01,1.165275335311889648e+00
-8.946031332015991211e-02,1.195407509803771973e+00
-6.315341591835021973e-02,1.225539684295654297e+00
-3.684651479125022888e-02,1.255671858787536621e+00
-1.053961366415023804e-02,1.285804033279418945e+00
1.576728746294975281e-02,1.315936207771301270e+00
4.207418859004974365e-02,1.346068382263183594e+00
6.838108599185943604e-02,1.376200556755065918e+00
9.468798339366912842e-02,1.406332731246948242e+00
1.209948807954788208e-01,1.436464905738830566e+00
1.473017781972885132e-01,1.466597080230712891e+00
1.736086755990982056e-01,1.496729254722595215e+00
1.999155730009078979e-01,1.526861429214477539e+00
2.262224704027175903e-01,1.556993603706359863e+00
2.525293827056884766e-01,1.587125778198242188e+00
2.788362801074981689e-01,1.617257952690124512e+00
3.051431775093078613e-01,1.647390127182006836e+00
3.314500749111175537e-01,1.677522301673889160e+00
3.577569723129272461e-01,1.707654476165771484e+00
3.840638697147369385e-01,1.737786650657653809e+00
4.103707671165466309e-01,1.767918825149536133e+00
4.366776645183563232e-01,1.798050999641418457e+00
4.629845619201660156e-01,1.828183174133300781e+00
4.892914593219757080e-01,1.858315348625183105e+00
5.155983567237854004e-01,1.888447523117065430e+00
5.419052839279174805e-01,1.918579697608947754e+00
5.682122111320495605e-01,1.948711872100830078e+00
5.945191383361816406e-01,1.978844046592712402e+00
6.208260655403137207e-01,2.008976221084594727e+00
6.471329927444458008e-01,2.039108276367187500e+00
6.734399199485778809e-01,2.069240331649780273e+00
6.997468471527099609e-01,2.099372386932373047e+00
7.260537743568420410e-01,2.129504442214965820e+00
7.523607015609741211e-01,2.159636497497558594e+00
7.786676287651062012e-01,2.189768552780151367e+00
8.049745559692382812e-01,2.219900608062744141e+00
8.312814831733703613e-01,2.250032663345336914e+00
8.575884103775024414e-01,2.280164718627929688e+00
8.838953375816345215e-01,2.310296773910522461e+00
9.102022647857666016e-01,2.340428829193115234e+00
9.365091919898986816e-01,2.370560884475708008e+00
9.628161191940307617e-01,2.400692939758300781e+00
9.891230463981628418e-01,2.430824995040893555e+00
1.015429973602294922e+00,2.460957050323486328e+00
1.041736841201782227e+00,2.491089105606079102e+00
1.068043708801269531e+00,2.521221160888671875e+00
1.094350576400756836e+00,2.551353216171264648e+00
1.120657444000244141e+00,2.581485271453857422e+00
1.146964311599731445e+00,2.611617326736450195e+00
1.173271179199218750e+00,2.641749382019042969e+00
1.199578046798706055e+00,2.671881437301635742e+00
1.225884914398193359e+00,2.702013492584228516e+00
1.252191781997680664e+00,2.732145547866821289e+00
1.278498649597167969e+00,2.762277603149414062e+00
1.304805517196655273e+00,2.792409658432006836e+00
1.331112384796142578e+00,2.822541713714599609e+00
1.357419252395629883e+00,2.852673768997192383e+00
1.383726119995117188e+00,2.882805824279785156e+00
1.410032987594604492e+00,2.912937879562377930e+00
1.436339855194091797e+00,2.943069934844970703e+00
1.462646722793579102e+00,2.973201990127563477e+00
1.488953590393066406e+00,3.003334045410156250e+00
1.515260457992553711e+00,3.033466100692749023e+00
1.541567325592041016e+00,3.063598155975341797e+00
1.567874193191528320e+00,3.093730211257934570e+00
1.594181060791015625e+00,3.123862266540527344e+00
1.620487928390502930e+00,3.153994321823120117e+00
1.646794795989990234e+00,3.184126377105712891e+00
1.673101663589477539e+00,3.214258432388305664e+00
1.699408531188964844e+00,3.244390487670898438e+00
1.725715398788452148e+00,3.274522542953491211e+00
1.752022266387939453e+00,3.304654598236083984e+00
1.778329133987426758e+00,3.334786653518676758e+00
1.804636001586914062e+00,3.364918708801269531e+00
1.830942869186401367e+00,3.395050764083862305e+00
1.857249736785888672e+00,3.425182819366455078e+00
1.883556604385375977e+00,3.455314874649047852e+00
1.909863471984863281e+00,3.485446929931640625e+00
1.936170339584350586e+00,3.515578985214233398e+00
1.962477207183837891e+00,3.545711040496826172e+00
1.988784074783325195e+00,3.575843095779418945e+00
2.015090942382812500e+00,3.605975151062011719e+00
2.041397809982299805e+00,3.636107206344604492e+00
2.067704677581787109e+00,3.666239261627197266e+00
2.094011545181274414e+00,3.696371316909790039e+00
2.120318412780761719e+00,3.726503372192382812e+00
2.146625280380249023e+00,3.756635427474975586e+00
2.172932147979736328e+00,3.786767482757568359e+00
2.199239015579223633e+00,3.816899538040161133e+00
2.225545883178710938e+00,3.847031593322753906e+00
2.251852750778198242e+00,3.877163648605346680e+00
2.278159618377685547e+00,3.907295703887939453e+00
2.304466485977172852e+00,3.937427759170532227e+00
2.330773353576660156e+00,3.967559814453125000e+00
2.357080221176147461e+00,3.997691869735717773e+00
2.383387088775634766e+00,4.027823925018310547e+00
2.409693956375122070e+00,4.057956218719482422e+00
2.436000823974609375e+00,4.088088512420654297e+00
2.462307691574096680e+00,4.118220806121826172e+00
2.488614559173583984e+00,4.148353099822998047e+00
2.514921426773071289e+00,4.178485393524169922e+00
2.541228294372558594e+00,4.208617687225341797e+00
2.567535161972045898e+00,4.238749980926513672e+00
2.593842029571533203e+00,4.268882274627685547e+00
2.620148897171020508e+00,4.299014568328857422e+00
2.646455764770507812e+00,4.329146862030029297e+00
2.672762632369995117e+00,4.359279155731201172e+00
2.699069499969482422e+00,4.389411449432373047e+00
2.725376367568969727e+00,4.419543743133544922e+00
2.751683235168457031e+00,4.449676036834716797e+00
2.777990102767944336e+00,4.479808330535888672e+00
2.804296970367431641e+00,4.509940624237060547e+00
2.830603837966918945e+00,4.540072917938232422e+00
2.856910705566406250e+00,4.570205211639404297e+00
2.883217573165893555e+00,4.600337505340576172e+00
2.909524440765380859e+00,4.630469799041748047e+00
2.935831308364868164e+00,4.660602092742919922e+00
2.962138175964355469e+00,4.690734386444091797e+00
2.988445043563842773e+00,4.720866680145263672e+00
3.014751911163330078e+00,4.750998973846435547e+00
3.041058778762817383e+00,4.781131267547607422e+00
3.067365646362304688e+00,4.811263561248779297e+00
3.093672513961791992e+00,4.841395854949951172e+00
3.119979381561279297e+00,4.871528148651123047e+00
3.146286249160766602e+00,4.901660442352294922e+00
3.172593116760253906e+00,4.931792736053466797e+00
3.198899984359741211e+00,4.961925029754638672e+00
3.225206851959228516e+00,4.992057323455810547e+00
3.251513719558715820e+00,5.022189617156982422e+00
3.277820587158203125e+00,5.052321910858154297e+00
3.304127454757690430e+00,5.082454204559326172e+00
3.330434322357177734e+00,5.112586498260498047e+00
3.356741189956665039e+00,5.142718791961669922e+00
3.383048057556152344e+00,5.172851085662841797e+00
3.409354925155639648e+00,5.202983379364013672e+00
3.435661792755126953e+00,5.233115673065185547e+00
3.461968660354614258e+00,5.263247966766357422e+00
3.488275527954101562e+00,5.293380260467529297e+00
3.514582395553588867e+00,5.323512554168701172e+00
3.540889263153076172e+00,5.353644847869873047e+00
3.567196130752563477e+00,5.383777141571044922e+00
3.593502998352050781e+00,5.413909435272216797e+00
3.619809865951538086e+00,5.444041728973388672e+00
3.646116733551025391e+00,5.474174022674560547e+00
3.672423601150512695e+00,5.504306316375732422e+00
3.698730468750000000e+00,5.534438610076904297e+00
3.725037336349487305e+00,5.564570903778076172e+00
3.751344203948974609e+00,5.594703197479248047e+00
3.777651071548461914e+00,5.624835491180419922e+00
3.803957939147949219e+00,5.654967784881591797e+00
3.830264806747436523e+00,5.685100078582763672e+00
3.856571674346923828e+00,5.715232372283935547e+00
3.882878541946411133e+00,5.745364665985107422e+00
3.909185409545898438e+00,5.775496959686279297e+00
3.935492277145385742e+00,5.805629253387451172e+00
3.961799144744873047e+00,5.835761547088623047e+00
3.988106012344360352e+00,5.865893840789794922e+00
4.014412879943847656e+00,5.896026134490966797e+00
4.040719985961914062e+00,5.926158428192138672e+00
4.067027091979980469e+00,5.956290721893310547e+00
4.093334197998046875e+00,5.986423015594482422e+00
4.119641304016113281e+00,6.016555309295654297e+00
4.145948410034179688e+00,6.046687602996826172e+00
4.172255516052246094e+00,6.076819896697998047e+00
4.198562622070312500e+00,6.106952190399169922e+00
4.224869728088378906e+00,6.137084484100341797e+00
4.251176834106445312e+00,6.167216777801513672e+00
4.277483940124511719e+00,6.197349071502685547e+00
4.303791046142578125e+00,6.227481365203857422e+00
4.330098152160644531e+00,6.257613658905029297e+00
4.356405258178710938e+00,6.287745952606201172e+00
4.382712364196777344e+00,6.317878246307373047e+00
4.409019470214843750e+00,6.348010540008544922e+00
4.435326576232910156e+00,6.378142833709716797e+00
4.461633682250976562e+00,6.408275127410888672e+00
4.487940788269042969e+00,6.438407421112060547e+00
4.514247894287109375e+00,6.468539714813232422e+00
4.540555000305175781e+00,6.498672008514404297e+00
4.566862106323242188e+00,6.528804302215576172e+00
4.593169212341308594e+00,6.558936595916748047e+00
4.619476318359375000e+00,6.589068889617919922e+00
4.645783424377441406e+00,6.619201183319091797e+00
4.672090530395507812e+00,6.649333477020263672e+00
4.698397636413574219e+00,6.679465770721435547e+00
4.724704742431640625e+00,6.709598064422607422e+00
4.751011848449707031e+00,6.739730358123779297e+00
4.777318954467773438e+00,6.769862651824951172e+00
4.803626060485839844e+00,6.799994945526123047e+00
4.829933166503906250e+00,6.830127239227294922e+00
4.856240272521972656e+00,6.860259532928466797e+00
4.882547378540039062e+00,6.890391826629638672e+00
4.908854484558105469e+00,6.920524120330810547e+00
4.935161590576171875e+00,6.950656414031982422e+00
4.961468696594238281e+00,6.980788707733154297e+00
4.987775802612304688e+00,7.010921001434326172e+00
5.014082908630371094e+00,7.041053295135498047e+00
5.040390014648437500e+00,7.071185588836669922e+00
5.066697120666503906e+00,7.101317882537841797e+00
5.093004226684570312e+00,7.131450176239013672e+00
5.119311332702636719e+00,7.161582469940185547e+00
5.145618438720703125e+00,7.191714763641357422e+00
5.171925544738769531e+00,7.221847057342529297e+00
5.198232650756835938e+00,7.251979351043701172e+00
5.224539756774902344e+00,7.282111644744873047e+00
5.250846862792968750e+00,7.312243938446044922e+00
5.277153968811035156e+00,7.342376232147216797e+00
5.303461074829101562e+00,7.372508525848388672e+00
5.329768180847167969e+00,7.402640819549560547e+00
5.356075286865234375e+00,7.432773113250732422e+00
5.382382392883300781e+00,7.462905406951904297e+00
5.408689498901367188e+00,7.493037700653076172e+00
5.434996604919433594e+00,7.523169994354248047e+00
5.461303710937500000e+00,7.553302288055419922e+00
5.487610816955566406e+00,7.583434581756591797e+00
5.513917922973632812e+00,7.613566875457763672e+00
5.540225028991699219e+00,7.643699169158935547e+00
5.566532135009765625e+00,7.673831462860107422e+00
5.592839241027832031e+00,7.703963756561279297e+00
5.619146347045898438e+00,7.734096050262451172e+00
5.645453453063964844e+00,7.764228343963623047e+00
5.671760559082031250e+00,7.794360637664794922e+00
5.698067665100097656e+00,7.824492931365966797e+00
5.724374771118164062e+00,7.854625225067138672e+00
5.750681877136230469e+00,7.884757518768310547e+00
5.776988983154296875e+00,7.914889812469482422e+00
5.803296089172363281e+00,7.945022106170654297e+00
5.829603195190429688e+00,7.975154399871826172e+00
5.855910301208496094e+00,8.005286216735839844e+00
5.882217407226562500e+00,8.035418510437011719e+00
5.908524513244628906e+00,8.065550804138183594e+00
5.934831619262695312e+00,8.095683097839355469e+00
5.961138725280761719e+00,8.125815391540527344e+00
5.987445831298828125e+00,8.155947685241699219e+00
6.013752937316894531e+00,8.186079978942871094e+00
6.040060043334960938e+00,8.216212272644042969e+00
6.066367149353027344e+00,8.246344566345214844e+00
6.092674255371093750e+00,8.276476860046386719e+00
6.118981361389160156e+00,8.306609153747558594e+00
6.145288467407226562e+00,8.336741447448730469e+00
6.171595573425292969e+00,8.366873741149902344e+00
6.197902679443359375e+00,8.397006034851074219e+00
6.224209785461425781e+00,8.427138328552246094e+00
6.250516891479492188e+00,8.457270622253417969e+00
6.276823997497558594e+00,8.487402915954589844e+00
6.303131103515625000e+00,8.517535209655761719e+00
6.329438209533691406e+00,8.547667503356933594e+00
6.355745315551757812e+00,8.577799797058105469e+00
6.382052421569824219e+00,8.607932090759277344e+00
6.408359527587890625e+00,8.638064384460449219e+00
6.434666633605957031e+00,8.668196678161621094e+00
6.460973739624023438e+00,8.698328971862792969e+00
6.487280845642089844e+00,8.728461265563964844e+00
6.513587951660156250e+00,8.758593559265136719e+00
6.539895057678222656e+00,8.788725852966308594e+00
6.566202163696289062e+00,8.818858146667480469e+00
6.592509269714355469e+00,8.848990440368652344e+00
6.618816375732421875e+00,8.879122734069824219e+00
6.645123481750488281e+00,8.909255027770996094e+00
6.671430587768554688e+00,8.939387321472167969e+00
6.697737693786621094e+00,8.969519615173339844e+00
6.724044799804687500e+00,8.999651908874511719e+00
6.750351905822753906e+00,9.029784202575683594e+00
6.776659011840820312e+00,9.059916496276855469e+00
6.802966117858886719e+00,9.090048789978027344e+00
6.829273223876953125e+00,9.120181083679199219e+00
6.855580329895019531e+00,9.150313377380371094e+00
6.881887435913085938e+00,9.180445671081542969e+00
6.908194541931152344e+00,9.210577964782714844e+00
6.934501647949218750e+00,9.240710258483886719e+00
6.960808753967285156e+00,9.270842552185058594e+00
6.987115859985351562e+00,9.300974845886230469e+00
7.013422966003417969e+00,9.331107139587402344e+00
7.039730072021484375e+00,9.361239433288574219e+00
7.066037178039550781e+00,9.391371726989746094e+00
7.092344284057617188e+00,9.421504020690917969e+00
7.118651390075683594e+00,9.451636314392089844e+00
7.144958496093750000e+00,9.481768608093261719e+00
7.171265602111816406e+00,9.511900901794433594e+00
7.197572708129882812e+00,9.542033195495605469e+00
7.223879814147949219e+00,9.572165489196777344e+00
7.250186920166015625e+00,9.602297782897949219e+00
7.276494026184082031e+00,9.632430076599121094e+00
7.302801132202148438e+00,9.662562370300292969e+00
7.329108238220214844e+00,9.692694664001464844e+00
7.355415344238281250e+00,9.722826957702636719e+00
7.381722450256347656e+00,9.752959251403808594e+00
7.408029556274414062e+00,9.783091545104980469e+00
7.434336662292480469e+00,9.813223838806152344e+00
7.460643768310546875e+00,9.843356132507324219e+00
7.486950874328613281e+00,9.873488426208496094e+00
7.513257980346679688e+00,9.903620719909667969e+00
7.539565086364746094e+00,9.933753013610839844e+00
7.565872192382812500e+00,9.963885307312011719e+00
7.592179298400878906e+00,9.994017601013183594e+00
7.618486404418945312e+00,1.002414989471435547e+01
7.644793510437011719e+00,1.005428218841552734e+01
7.671100616455078125e+00,1.008441448211669922e+01
7.697407722473144531e+00,1.011454677581787109e+01
7.723714828491210938e+00,1.014467906951904297e+01
7.750021934509277344e+00,1.017481136322021484e+01
7.776329040527343750e+00,1.020494365692138672e+01
7.802636146545410156e+00,1.023507595062255859e+01
7.828943252563476562e+00,1.026520824432373047e+01
7.855250358581542969e+00,1.029534053802490234e+01
7.881557464599609375e+00,1.032547283172607422e+01
7.907864570617675781e+00,1.035560512542724609e+01
7.934171676635742188e+00,1.038573741912841797e+01
7.960478782653808594e+00,1.041586971282958984e+01
7.986785888671875000e+00,1.044600200653076172e+01
8.013092994689941406e+00,1.047613430023193359e+01
8.039400100708007812e+00,1.050626659393310547e+01
8.065707206726074219e+00,1.053639888763427734e+01
8.092014312744140625e+00,1.056653118133544922e+01
8.118321418762207031e+00,1.059666347503662109e+01
8.144628524780273438e+00,1.062679576873779297e+01
8.170935630798339844e+00,1.065692806243896484e+01
8.197242736816406250e+00,1.068706035614013672e+01
8.223549842834472656e+00,1.071719264984130859e+01
8.249856948852539062e+00,1.074732494354248047e+01
8.276164054870605469e+00,1.077745723724365234e+01
