x_glider,y_glider
4.140295505523681641e+00,-4.541792392730712891e+00
4.175384044647216797e+00,-4.522587776184082031e+00
4.210472583770751953e+00,-4.503383159637451172e+00
4.245561122894287109e+00,-4.484178543090820312e+00
4.280649662017822266e+00,-4.464973926544189453e+00
4.315738201141357422e+00,-4.445769309997558594e+00
4.350826740264892578e+00,-4.426564693450927734e+00
4.385915279388427734e+00,-4.407360076904296875e+00
4.421003818511962891e+00,-4.388155460357666016e+00
4.456092357635498047e+00,-4.368950843811035156e+00
4.491180896759033203e+00,-4.349746227264404297e+00
4.526269435882568359e+00,-4.330541610717773438e+00
4.561357975006103516e+00,-4.311336994171142578e+00
4.596446514129638672e+00,-4.292132377624511719e+00
4.631535053253173828e+00,-4.272927761077880859e+00
4.666623592376708984e+00,-4.253723144531250000e+00
4.701712131500244141e+00,-4.234518527984619141e+00
4.736800670623779297e+00,-4.215313911437988281e+00
4.771889209747314453e+00,-4.196109294891357422e+00
4.806977748870849609e+00,-4.176904678344726562e+00
4.842066287994384766e+00,-4.157700061798095703e+00
4.877154827117919922e+00,-4.138495445251464844e+00
4.912243366241455078e+00,-4.119290828704833984e+00
4.947331905364990234e+00,-4.100086212158203125e+00
4.982420444488525391e+00,-4.080881595611572266e+00
5.017508983612060547e+00,-4.061676979064941406e+00
5.052597522735595703e+00,-4.042472362518310547e+00
5.087686061859130859e+00,-4.023267745971679688e+00
5.122774600982666016e+00,-4.004063129425048828e+00
5.157863140106201172e+00,-3.984858751296997070e+00
5.192951679229736328e+00,-3.965654373168945312e+00
5.228040218353271484e+00,-3.946449995040893555e+00
5.263128757476806641e+00,-3.927245616912841797e+00
5.298217296600341797e+00,-3.908041238784790039e+00
5.333305835723876953e+00,-3.888836860656738281e+00
5.368394374847412109e+00,-3.869632482528686523e+00
5.403482913970947266e+00,-3.850428104400634766e+00
5.438571453094482422e+00,-3.831223726272583008e+00
5.473659992218017578e+00,-3.812019348144531250e+00
5.508748531341552734e+00,-3.792814970016479492e+00
5.543837070465087891e+00,-3.773610591888427734e+00
5.578925609588623047e+00,-3.754406213760375977e+00
5.614014148712158203e+00,-3.735201835632324219e+00
5.649102687835693359e+00,-3.715997457504272461e+00
5.684191226959228516e+00,-3.696793079376220703e+00
5.719279766082763672e+00,-3.677588701248168945e+00
5.754368305206298828e+00,-3.658384323120117188e+00
5.789456844329833984e+00,-3.639179944992065430e+00
5.824545383453369141e+00,-3.619975566864013672e+00
5.859633922576904297e+00,-3.600771188735961914e+00
5.894722461700439453e+00,-3.581566810607910156e+00
5.929811000823974609e+00,-3.562362432479858398e+00
5.964899539947509766e+00,-3.543158054351806641e+00
5.999988079071044922e+00,-3.523953676223754883e+00
6.035076618194580078e+00,-3.504749298095703125e+00
6.070165157318115234e+00,-3.485544919967651367e+00
6.105253696441650391e+00,-3.466340541839599609e+00
6.140342235565185547e+00,-3.447136163711547852e+00
6.175430774688720703e+00,-3.427931785583496094e+00
6.210519313812255859e+00,-3.408727407455444336e+00
6.245607852935791016e+00,-3.389523029327392578e+00
6.280696392059326172e+00,-3.370318651199340820e+00
6.315784931182861328e+00,-3.351114273071289062e+00
6.350873470306396484e+00,-3.331909894943237305e+00
6.385962009429931641e+00,-3.312705516815185547e+00
6.421050548553466797e+00,-3.293501138687133789e+00
6.456139087677001953e+00,-3.274296760559082031e+00
6.491227626800537109e+00,-3.255092382431030273e+00
6.526316165924072266e+00,-3.235888004302978516e+00
6.561404705047607422e+00,-3.216683626174926758e+00
6.596493244171142578e+00,-3.197479248046875000e+00
6.631581783294677734e+00,-3.178274869918823242e+00
6.666670322418212891e+00,-3.159070491790771484e+00
6.701758861541748047e+00,-3.139866113662719727e+00
6.736847400665283203e+00,-3.120661735534667969e+00
6.771935939788818359e+00,-3.101457357406616211e+00
6.807024478912353516e+00,-3.082252979278564453e+00
6.842113018035888672e+00,-3.063048601150512695e+00
6.877201557159423828e+00,-3.043844223022460938e+00
6.912290096282958984e+00,-3.024639844894409180e+00
6.947378635406494141e+00,-3.005435466766357422e+00
6.982467174530029297e+00,-2.986231088638305664e+00
7.017555713653564453e+00,-2.967026710510253906e+00
7.052644252777099609e+00,-2.947822332382202148e+00
7.087732791900634766e+00,-2.928617954254150391e+00
7.122821331024169922e+00,-2.909413576126098633e+00
7.157909870147705078e+00,-2.890209197998046875e+00
7.192998409271240234e+00,-2.871004819869995117e+00
7.228086948394775391e+00,-2.851800441741943359e+00
7.263175487518310547e+00,-2.832596063613891602e+00
7.298264026641845703e+00,-2.813391685485839844e+00
7.333352565765380859e+00,-2.794187307357788086e+00
7.368441104888916016e+00,-2.774982929229736328e+00
7.403529644012451172e+00,-2.755778551101684570e+00
7.438618183135986328e+00,-2.736574172973632812e+00
7.473706722259521484e+00,-2.717369794845581055e+00
7.508795261383056641e+00,-2.698165416717529297e+00
7.543883800506591797e+00,-2.678961038589477539e+00
7.578972339630126953e+00,-2.659756660461425781e+00
7.614060878753662109e+00,-2.640552282333374023e+00
7.649149417877197266e+00,-2.621347904205322266e+00
7.684237957000732422e+00,-2.602143526077270508e+00
7.719326496124267578e+00,-2.582939147949218750e+00
7.754415035247802734e+00,-2.563734769821166992e+00
7.789503574371337891e+00,-2.544530391693115234e+00
7.824592113494873047e+00,-2.525326013565063477e+00
7.859680652618408203e+00,-2.506121635437011719e+00
7.894769191741943359e+00,-2.486917257308959961e+00
7.929857730865478516e+00,-2.467712879180908203e+00
7.964946269989013672e+00,-2.448508501052856445e+00
8.000034332275390625e+00,-2.429304122924804688e+00
8.035122871398925781e+00,-2.410099744796752930e+00
8.070211410522460938e+00,-2.390895366668701172e+00
8.105299949645996094e+00,-2.371690988540649414e+00
8.140388488769531250e+00,-2.352486610412597656e+00
8.175477027893066406e+00,-2.333282232284545898e+00
8.210565567016601562e+00,-2.314077854156494141e+00
8.245654106140136719e+00,-2.294873476028442383e+00
8.280742645263671875e+00,-2.275669097900390625e+00
8.315831184387207031e+00,-2.256464719772338867e+00
8.350919723510742188e+00,-2.237260341644287109e+00
8.386008262634277344e+00,-2.218055963516235352e+00
8.421096801757812500e+00,-2.198851585388183594e+00
8.456185340881347656e+00,-2.179647207260131836e+00
8.491273880004882812e+00,-2.160442829132080078e+00
8.526362419128417969e+00,-2.141238451004028320e+00
8.561450958251953125e+00,-2.122034072875976562e+00
8.596539497375488281e+00,-2.102829694747924805e+00
8.631628036499023438e+00,-2.083625316619873047e+00
8.666716575622558594e+00,-2.064420938491821289e+00
8.701805114746093750e+00,-2.045216560363769531e+00
8.736893653869628906e+00,-2.026012182235717773e+00
8.771982192993164062e+00,-2.006807804107666016e+00
8.807070732116699219e+00,-1.987603306770324707e+00
8.842159271240234375e+00,-1.968398809432983398e+00
8.877247810363769531e+00,-1.949194312095642090e+00
8.912336349487304688e+00,-1.929989814758300781e+00
8.947424888610839844e+00,-1.910785317420959473e+00
8.982513427734375000e+00,-1.891580820083618164e+00
9.017601966857910156e+00,-1.872376322746276855e+00
9.052690505981445312e+00,-1.853171825408935547e+00
9.087779045104980469e+00,-1.833967328071594238e+00
9.122867584228515625e+00,-1.814762830734252930e+00
9.157956123352050781e+00,-1.795558333396911621e+00
9.193044662475585938e+00,-1.776353836059570312e+00
9.228133201599121094e+00,-1.757149338722229004e+00
9.263221740722656250e+00,-1.737944841384887695e+00
9.298310279846191406e+00,-1.718740344047546387e+00
9.333398818969726562e+00,-1.699535846710205078e+00
9.368487358093261719e+00,-1.680331349372863770e+00
9.403575897216796875e+00,-1.661126852035522461e+00
9.438664436340332031e+00,-1.641922354698181152e+00
9.473752975463867188e+00,-1.622717857360839844e+00
9.508841514587402344e+00,-1.603513360023498535e+00
