x_glider,y_glider
3.991114616394042969e+00,1.648509979248046875e+00
3.951247215270996094e+00,1.651763558387756348e+00
3.911379814147949219e+00,1.655017137527465820e+00
3.871512413024902344e+00,1.658270716667175293e+00
3.831645011901855469e+00,1.661524295806884766e+00
3.791777610778808594e+00,1.664777874946594238e+00
3.751910209655761719e+00,1.668031454086303711e+00
3.712042808532714844e+00,1.671285033226013184e+00
3.672175407409667969e+00,1.674538612365722656e+00
3.632308006286621094e+00,1.677792191505432129e+00
3.592440605163574219e+00,1.681045770645141602e+00
3.552573204040527344e+00,1.684299349784851074e+00
3.512705802917480469e+00,1.687552928924560547e+00
3.472838401794433594e+00,1.690806508064270020e+00
3.432971000671386719e+00,1.694060087203979492e+00
3.393103599548339844e+00,1.697313666343688965e+00
3.353236198425292969e+00,1.700567245483398438e+00
3.313368797302246094e+00,1.703820824623107910e+00
3.273501396179199219e+00,1.707074403762817383e+00
3.233633995056152344e+00,1.710327982902526855e+00
3.193766593933105469e+00,1.713581562042236328e+00
3.153899192810058594e+00,1.716835141181945801e+00
3.114031791687011719e+00,1.720088720321655273e+00
3.074164390563964844e+00,1.723342299461364746e+00
3.034296989440917969e+00,1.726595878601074219e+00
2.994429588317871094e+00,1.729849457740783691e+00
2.954562187194824219e+00,1.733103036880493164e+00
2.914694786071777344e+00,1.736356616020202637e+00
2.874827384948730469e+00,1.739610195159912109e+00
2.834959983825683594e+00,1.742863774299621582e+00
2.795092582702636719e+00,1.746117353439331055e+00
2.755225181579589844e+00,1.749370932579040527e+00
2.715357780456542969e+00,1.752624511718750000e+00
2.675490379333496094e+00,1.755878090858459473e+00
2.635622978210449219e+00,1.759131669998168945e+00
2.595755577087402344e+00,1.762385249137878418e+00
2.555888175964355469e+00,1.765638828277587891e+00
2.516020774841308594e+00,1.768892407417297363e+00
2.476153373718261719e+00,1.772145986557006836e+00
2.436285972595214844e+00,1.775399565696716309e+00
2.396418571472167969e+00,1.778653144836425781e+00
2.356551170349121094e+00,1.781906723976135254e+00
2.316683769226074219e+00,1.785160303115844727e+00
2.276816368103027344e+00,1.788413882255554199e+00
2.236948966979980469e+00,1.791667461395263672e+00
2.197081565856933594e+00,1.794921040534973145e+00
2.157214164733886719e+00,1.798174619674682617e+00
2.117346763610839844e+00,1.801428198814392090e+00
2.077479362487792969e+00,1.804681777954101562e+00
2.037611961364746094e+00,1.807935357093811035e+00
1.997744560241699219e+00,1.811188936233520508e+00
1.957877159118652344e+00,1.814442515373229980e+00
1.918009757995605469e+00,1.817696094512939453e+00
1.878142356872558594e+00,1.820949673652648926e+00
1.838274955749511719e+00,1.824203252792358398e+00
1.798407554626464844e+00,1.827456831932067871e+00
1.758540153503417969e+00,1.830710411071777344e+00
1.718672752380371094e+00,1.833963990211486816e+00
1.678805351257324219e+00,1.837217569351196289e+00
1.638937950134277344e+00,1.840471148490905762e+00
1.599070549011230469e+00,1.843724727630615234e+00
1.559203147888183594e+00,1.846978306770324707e+00
1.519335746765136719e+00,1.850231885910034180e+00
1.479468345642089844e+00,1.853485465049743652e+00
1.439600944519042969e+00,1.856739044189453125e+00
1.399733543395996094e+00,1.859992623329162598e+00
1.359866142272949219e+00,1.863246202468872070e+00
1.319998741149902344e+00,1.866499781608581543e+00
1.280131340026855469e+00,1.869753360748291016e+00
1.240263938903808594e+00,1.873006939888000488e+00
1.200396537780761719e+00,1.876260519027709961e+00
1.160529136657714844e+00,1.879514098167419434e+00
1.120661735534667969e+00,1.882767677307128906e+00
1.080794334411621094e+00,1.886021256446838379e+00
1.040926933288574219e+00,1.889274835586547852e+00
1.001059532165527344e+00,1.892528414726257324e+00
9.611920714378356934e-01,1.895781993865966797e+00
9.213246107101440430e-01,1.899035573005676270e+00
8.814571499824523926e-01,1.902289152145385742e+00
8.415896892547607422e-01,1.905542731285095215e+00
8.017222285270690918e-01,1.908796310424804688e+00
7.618547677993774414e-01,1.912049889564514160e+00
7.219873070716857910e-01,1.915303468704223633e+00
6.821198463439941406e-01,1.918557047843933105e+00
6.422523856163024902e-01,1.921810626983642578e+00
6.023849248886108398e-01,1.925064206123352051e+00
5.625174641609191895e-01,1.928317785263061523e+00
5.226500034332275391e-01,1.931571364402770996e+00
4.827825427055358887e-01,1.934824943542480469e+00
4.429150819778442383e-01,1.938078522682189941e+00
4.030476212501525879e-01,1.941332101821899414e+00
3.631801605224609375e-01,1.944585680961608887e+00
3.233126997947692871e-01,1.947839260101318359e+00
2.834452390670776367e-01,1.951092839241027832e+00
2.435777783393859863e-01,1.954346418380737305e+00
2.037103176116943359e-01,1.957599997520446777e+00
